title,category,description,required_skills,avg_salary_inr,growth_rate,difficulty_level,education_required,top_colleges,job_roles
Pharmacist,Healthcare,Dispense medicines and provide drug information,Pharmacy Knowledge;Attention to Detail,400000,Low,Medium,BPharma or DPharma,Top Pharmacy Colleges,Retail Pharmacist;Hospital Pharmacist;Drug Inspector
Lawyer,Legal,Represent clients in legal matters,Law Knowledge;Argumentation;Research,800000,Medium,Hard,LLB Degree,NLU;DU Law;Top Law Schools,Corporate Lawyer;Criminal Lawyer;Legal Advisor
Cloud Engineer,Technology,Design and manage cloud infrastructure,AWS;Azure;GCP;DevOps,1100000,Very High,Medium,BTech in CS with Cloud Certification,IIT;IIIT;Online Certifications,Cloud Architect;DevOps Engineer;Site Reliability Engineer
UX/UI Designer,Technology,Design user interfaces and experiences,Figma;User Research;Prototyping,700000,High,Medium,Design Degree or Self-taught,NID;NIFT;Online Courses,UX Designer;UI Designer;Product Designer
Electrical Engineer,Engineering,Design electrical systems and equipment,Circuit Design;Power Systems;Electronics,550000,Medium,Medium,BTech in Electrical,IIT;NIT;Top Engineering Colleges,Design Engineer;Power Engineer;Control Systems Engineer
Sales Manager,Business,Lead sales teams and drive revenue growth,Communication;Negotiation;CRM Tools,700000,High,Medium,Any Graduate with MBA,Any College;MBA from Top B-Schools,Sales Executive;Business Development Manager;Key Account Manager
Journalist,Media,Report news and write articles for media outlets,Writing;Research;Communication;Ethics,450000,Medium,Medium,Journalism Degree or Any Graduate,Journalism Schools;Any University,Reporter;Editor;Correspondent
Pilot,Aviation,Operate aircraft and ensure passenger safety,Flight Training;Navigation;Safety Protocols,2000000,High,Hard,Commercial Pilot License,Flying Schools;Air Force Academy,Commercial Pilot;Airline Captain;Flight Instructor
Chef,Culinary,Create and prepare delicious meals,Cooking;Food Knowledge;Creativity;Time Management,600000,Medium,Medium,Culinary Arts Degree or Apprenticeship,Top Culinary Schools,Head Chef;Pastry Chef;Sous Chef
Police Officer,Law Enforcement,Maintain law and order in communities,Law Knowledge;Physical Fitness;Communication,500000,Low,Medium,Police Training,Police Academies,Patrol Officer;Detective;Inspector
Environmental Scientist,Environment,Study and protect the natural environment,Environmental Science;Biology;Research;Data Analysis,550000,Medium,Medium,MSc in Environmental Science,Top Universities,Research Scientist;Environmental Consultant;Policy Advisor
Film Director,Media,Direct and produce films and videos,Storytelling;Direction;Editing;Leadership,800000,Medium,Hard,Film Degree or Experience,Film Institutes,Director;Producer;Screenwriter
Nurse,Healthcare,Provide patient care and support,Medical Knowledge;Empathy;Attention to Detail,400000,Medium,Medium,BSc Nursing,Top Nursing Colleges,Staff Nurse;ICU Nurse;Community Health Nurse
Veterinarian,Healthcare,Care for animals and ensure their health,Veterinary Science;Animal Care;Diagnosis,700000,Medium,Medium,BVSc Degree,Veterinary Colleges,Vet Surgeon;Animal Doctor;Research Vet
Event Planner,Business,Organize and manage events,Planning;Communication;Budgeting;Creativity,500000,Medium,Easy,Any Graduate with Certification,Event Management Institutes,Wedding Planner;Corporate Event Manager;Party Organizer
Marine Biologist,Science,Study marine life and ecosystems,Biology;Oceanography;Research;Diving,600000,Medium,Medium,MSc in Marine Biology,Oceanographic Institutes,Research Scientist;Aquarium Curator;Conservation Officer
Social Worker,Social Services,Help individuals and communities in need,Empathy;Communication;Problem Solving;Advocacy,350000,Low,Easy,MSW Degree,Social Work Schools,Counselor;Case Worker;Community Organizer
Astronaut,Space,Conduct space missions and research,Engineering;Physics;Survival Skills;Teamwork,3000000,High,Very Hard,Engineering Degree with NASA Training,NASA;Space Agencies,Astronaut;Mission Specialist;Space Engineer
Game Developer,Technology,Create video games and interactive experiences,Programming;Game Design;Creativity;3D Modeling,900000,High,Medium,BTech in CS or Game Design,IIT;Game Design Schools,Game Programmer;Level Designer;Game Artist
Sports Coach,Sports,Train athletes and teams,Physical Education;Motivation;Strategy;Communication,400000,Low,Easy,Sports Science Degree or Experience,Sports Academies,Football Coach;Tennis Coach;Fitness Trainer
Translator,Languages,Translate texts between languages,Language Proficiency;Cultural Knowledge;Writing,450000,Medium,Easy,Language Degree or Proficiency,Language Institutes,Interpreter;Localization Specialist;Language Teacher
Real Estate Agent,Business,Help buy and sell properties,Communication;Negotiation;Market Knowledge;Sales,600000,Medium,Easy,Real Estate License,Real Estate Schools,Property Agent;Broker;Consultant
Entrepreneur,Business,Start and manage your own business,Innovation;Risk Taking;Leadership;Marketing,1000000,High,Hard,Any Degree or Self-taught,Business Schools,Startup Founder;CEO;Business Owner
Research Scientist,Science,Conduct scientific research and experiments,Research Methods;Analytical Skills;Subject Expertise,700000,Medium,Hard,PhD in Relevant Field,Top Universities,Lab Researcher;Academic Researcher;R&D Scientist
Tour Guide,Tourism,Guide tourists and provide information about places,Communication;Local Knowledge;Customer Service,300000,Low,Easy,Any Graduate,Tourism Institutes,Tour Guide;Travel Consultant;Cultural Interpreter
Fitness Trainer,Health & Fitness,Help people achieve fitness goals,Exercise Knowledge;Motivation;Nutrition;Communication,400000,Medium,Easy,Fitness Certification,Fitness Academies,Personal Trainer;Gym Instructor;Nutritionist
Dentist,Healthcare,Diagnose and treat dental problems,Dental Knowledge;Manual Dexterity;Patient Care,800000,Medium,Hard,BDS Degree,Dental Colleges,Dental Surgeon;Orthodontist;Oral Surgeon
Physiotherapist,Healthcare,Help patients recover from injuries through physical therapy,Anatomy;Rehabilitation;Exercise Therapy,500000,Medium,Medium,BPT Degree,Physiotherapy Colleges,Physical Therapist;Sports Physiotherapist;Rehab Specialist
Chemical Engineer,Engineering,Design and develop chemical processes,Chemistry;Process Engineering;Safety Standards,650000,Medium,Medium,BTech in Chemical Engineering,IIT;NIT;Chemical Engineering Colleges,Process Engineer;Plant Manager;R&D Engineer
Computer Engineer,Engineering,Design computer hardware and systems,Circuit Design;Computer Architecture;Programming,700000,High,Medium,BTech in Computer Engineering,IIT;NIT;Engineering Colleges,Hardware Engineer;System Architect;Embedded Engineer
Biotechnologist,Science,Apply biological systems for technological applications,Biology;Biotechnology;Research;Lab Skills,600000,High,Medium,MSc in Biotechnology,IIT;Top Universities,Research Scientist;Biotech Engineer;Lab Manager
Army Officer,Defense,Serve in the armed forces and protect the nation,Leadership;Physical Fitness;Strategy;Tactics,600000,Low,Hard,NDA or CDS,National Defense Academy,Army Officer;Commander;Strategic Planner
Navy Officer,Defense,Operate naval vessels and maintain maritime security,Navigation;Maritime Law;Leadership;Engineering,700000,Low,Hard,NDA or CDS,National Defense Academy,Navy Officer;Ship Captain;Maritime Engineer
Air Force Officer,Defense,Pilot aircraft and manage air operations,Flight Training;Aviation;Leadership;Strategy,800000,Low,Hard,NDA or CDS,National Defense Academy,Pilot;Fighter Pilot;Air Traffic Controller
Farmer,Agriculture,Grow crops and raisie lvestock,Farming Techniques;Agricultural Knowledge;Equipment Operation,300000,Low,Easy,Practical Experience or Diploma,Agricultural Institutes,Crop Farmer;Livestock Farmer;Organic Farmer
Agronomist,Agriculture,Study soil and crop management for bettier yields,Soil Science;Crop Science;Research;Data Analysis,500000,Low,Medium,MSc in Agronomy,Agricultural Universities,Agricultural Consultant;Crop Specialist;Soil Scientist
Wildlife Biologist,Environment,Study and protect wildlife speces,Biology;Ecology;Research;Conservation,550000,Medium,Medium,MSc in Wildlife Biology,Forestry Institutes,Wildlife Researcher;Conservation Officer;Park Ranger
Urban Planner,Engineering,Design and plan urban development,Urban Design;GIS;Policy Making;Architecture,650000,Medium,Medium,Masters in Urban Planning,SPA;CEPT,Urban Planner;City Planner;Development Consultant
Petroleum Engineer,Engineering,Extract and produce oil and gas resources,Geology;Drilling;Reservoir Engineering,1200000,High,Hard,BTech in Petroleum Engineering,IIT;UPES,Reservoir Engineer;Drilling Engineer;Petroleum Geologist
Nuclear Engineer,Engineering,Work with nuclear energy and radiation,Nuclear Physics;Safety Protocols;Engineering,900000,Medium,Hard,BTech in Nuclear Engineering,IIT;BARC,Nuclear Engineer;Radiation Safety Officer;Power Plant Engineer
Forensic Scientist,Science,Analyze evidence for criminal investigations,Forensic Science;Chemistry;Biology;Attention to Detail,600000,Medium,Medium,MSc in Forensic Science,Forensic Science Institutes,Crime Scene Investigator;Lab Analyst;Toxicologist
Geologist,Science,Study earth's materials and processes,Geology;Field Work;Data Analysis;Mapping,650000,Medium,Medium,MSc in Geology,Geological Survey;Universities,Exploration Geologist;Mining Geologist;Environmental Geologist
Meteorologist,Science,Predict weather patterns and climate,Atmospheric Science;Mathematics;Data Analysis,700000,Medium,Medium,MSc in Meteorology,Meteorological Institutes,Weather Forecaster;Climate Scientist;Research Meteorologist
Economist,Business,Analyze economic trends and policies,Economics;Statistics;Research;Policy Analysis,800000,Medium,Medium,MA in Economics,Delhi School of Economics;Economist;Policy Analyst;Financial Analyst
Management Consultant,Business,Advise organizations on strategy and operations,Business Strategy;Problem Solving;Communication;Analytics,1000000,High,Medium,MBA,Top B-Schools,Strategy Consultant;Operations Manager;Business Advisor
Supply Chain Manager,Business,Manage logistics and supply chain operations,Logistics;Operations;Negotiation;Analytics,750000,High,Medium,MBA or Engineering,Top B-Schools,Logistics Manager;Supply Chain Analyst;Operations Director
Data Engineer,Technology,Build and maintain data infrastructure,Big Data;ETL;SQL;Cloud Computing,950000,Very High,Medium,BTech in CS,IIT;IIIT,Data Engineer;ETL Developer;Big Data Architect
DevOps Engineer,Technology,Integrate development and operations,CI/CD;Automation;Cloud;Scripting,900000,Very High,Medium,BTech in CS,IIT;Online Certifications,DevOps Engineer;Site Reliability Engineer;Automation Engineer
Blockchain Developer,Technology,Develop blockchain applications,Blockchain;Cryptography;Smart Contracts;Programming,1100000,Very High,Hard,BTech in CS,IIT;Blockchain Courses,Blockchain Developer;DApp Developer;Crypto Analyst
AI/ML Engineer,Technology,Build AI and machine learning systems,Machine Learning;Python;Deep Learning;Algorithms,1300000,Very High,Hard,BTech/MSc in CS,IIT;IIIT,AI Engineer;ML Engineer;Data Scientist
Product Manager,Business,Manage product development lifecycle,Product Strategy;Market Research;Agile;Communication,1200000,High,Medium,MBA or Tech Degree,"Top B-Schools,IIT",Product Manager;Product Owner;Business Analyst
Marketing Manager,Business,Develop and execute marketing strategies,Marketing;Brand Management;Digital Marketing;Analytics,800000,High,Medium,MBA,Top B-Schools,Marketing Director;Brand Manager;Campaign Manager
Financial Analyst,Finance,Analyze financial data and investments,Financial Modeling;Excel;Valuation;Research,700000,High,Medium,CA or MBA,CA;Top B-Schools,Investment Analyst;Financial Planner;Risk Analyst
Actuary,Finance,Assess financial consequences of risk,Mathematics;Statistics;Finance;Modeling,1000000,Medium,Hard,ACAS or FSA,Actuarial Institutes,Risk Analyst;Insurance Actuary;Pension Consultant
Interior Designer,Creative,Design interior spaces,Aesthetics;Space Planning;Materials;Creativity,500000,Medium,Easy,Interior Design Degree,NID;NIFT,Interior Designer;Space Planner;Furniture Designer
Animator,Creative,Create animated content,Animation Software;Creativity;Storytelling;3D Modeling,600000,High,Medium,Animation Degree or Self-taught,Animation Institutes,2D Animator;3D Animator;VFX Artist
Photographer,Creative,Capture and edit visual images,Photography;Editing;Creativity;Composition,400000,Medium,Easy,Photography Course or Self-taught,Photography Schools,Portrait Photographer;Event Photographer;Photojournalist
Film Editor,Media,Edit and assemble film footage,Video Editing;Storytelling;Technical Skills;Creativity,500000,Medium,Medium,Film Degree,Film Institutes,Editor;Post-Production Supervisor;Colorist
Broadcast Journalist,Media,Report news for television and radio,Writing;Presentation;Research;Ethics,550000,Medium,Medium,Journalism Degree,Journalism Schools,News Anchor;Reporter;Broadcast Producer
Public Relations Specialist,Business,Manage public image and communications,Communication;Media Relations;Writing;Strategy,600000,Medium,Easy,PR Degree or Any Graduate,PR Institutes,PR Manager;Communications Specialist;Media Coordinator
Hotel Manager,Tourism,Manage hotel operations and guest services,Hospitality;Management;Customer Service;Operations,550000,Medium,Easy,Hotel Management Degree,IHM;Hospitality Institutes,Hotel Manager;Front Office Manager;Operations Manager
Travel Agent,Tourism,Plan and book travel arrangements,Geography;Customer Service;Sales;Communication,350000,Low,Easy,Travel & Tourism Diploma,Tourism Institutes,Travel Consultant;Tour Operator;Booking Agent
Librarian,Education,Manage library resources and assist patrons,Information Management;Research;Organization;Communication,400000,Low,Easy,MLIS Degree,Library Science Schools,Librarian;Information Specialist;Archivist
Museum Curator,Education,Curate and manage museum collections,History;Art History;Conservation;Research,500000,Low,Medium,Masters in Museum Studies,Museum Studies Programs,Curator;Collections Manager;Exhibition Designer
Special Education Teacher,Education,Teach students with special needs,Special Education;Patience;Adaptability;Communication,450000,Low,Medium,BEd in Special Education,Special Education Colleges,Special Ed Teacher;Learning Support Assistant;Inclusion Coordinator
